2012-05-03 10:36:24.8981|INFO|FinalVersion.SurfaceWindow1|; 1336041380280 ; steven houben ; C ; 0 ; 0 ; 2 ; 0 ; 1336041384898
2012-05-03 10:36:42.0981|INFO|FinalVersion.SurfaceWindow1|; 1336041388448 ; steven houben ; C ; 0 ; 0 ; 1 ; 1 ; 1336041402098
2012-05-03 10:36:51.9836|INFO|FinalVersion.SurfaceWindow1|; 1336041407538 ; steven houben ; C ; 0 ; 0 ; 0 ; 0 ; 1336041411983
2012-05-03 10:37:00.2731|INFO|FinalVersion.SurfaceWindow1|; 1336041415329 ; steven houben ; C ; 0 ; 0 ; 2 ; 0 ; 1336041420273
2012-05-03 10:37:12.6768|INFO|FinalVersion.SurfaceWindow1|; 1336041429040 ; steven houben ; C ; 0 ; 0 ; 1 ; 0 ; 1336041432676
2012-05-03 10:37:19.5242|INFO|FinalVersion.SurfaceWindow1|; 1336041435654 ; steven houben ; C ; 0 ; 0 ; 0 ; 0 ; 1336041439524
2012-05-03 10:37:27.1286|INFO|FinalVersion.SurfaceWindow1|; 1336041442952 ; steven houben ; C ; 0 ; 0 ; 2 ; 0 ; 1336041447128
2012-05-03 10:37:42.6195|INFO|FinalVersion.SurfaceWindow1|; 1336041460670 ; steven houben ; C ; 1 ; 0 ; 1 ; 1 ; 1336041462619
2012-05-03 10:37:47.0758|INFO|FinalVersion.SurfaceWindow1|; 1336041464929 ; steven houben ; C ; 1 ; 0 ; 0 ; 1 ; 1336041467075
2012-05-03 10:37:57.8514|INFO|FinalVersion.SurfaceWindow1|; 1336041471480 ; steven houben ; C ; 1 ; 0 ; 2 ; 2 ; 1336041477851
2012-05-03 10:38:02.3316|INFO|FinalVersion.SurfaceWindow1|; 1336041480102 ; steven houben ; C ; 1 ; 0 ; 1 ; 1 ; 1336041482331
2012-05-03 10:38:06.7239|INFO|FinalVersion.SurfaceWindow1|; 1336041484086 ; steven houben ; C ; 1 ; 0 ; 0 ; 1 ; 1336041486723
2012-05-03 10:38:14.3763|INFO|FinalVersion.SurfaceWindow1|; 1336041488810 ; steven houben ; C ; 1 ; 0 ; 2 ; 2 ; 1336041494376
2012-05-03 10:38:19.5686|INFO|FinalVersion.SurfaceWindow1|; 1336041497367 ; steven houben ; C ; 1 ; 0 ; 0 ; 1 ; 1336041499568
2012-05-03 10:38:24.5089|INFO|FinalVersion.SurfaceWindow1|; 1336041502622 ; steven houben ; C ; 1 ; 0 ; 1 ; 1 ; 1336041504508
2012-05-03 10:38:31.5043|INFO|FinalVersion.SurfaceWindow1|; 1336041506634 ; steven houben ; C ; 1 ; 0 ; 2 ; 2 ; 1336041511504
2012-05-03 10:38:58.3149|INFO|FinalVersion.SurfaceWindow1|; 1336041527145 ; steven houben ; C ; 2 ; 0 ; 0 ; 0 ; 1336041538314
2012-05-03 10:39:30.5847|INFO|FinalVersion.SurfaceWindow1|; 1336041542965 ; steven houben ; C ; 2 ; 0 ; 1 ; 0 ; 1336041570584
2012-05-03 10:40:05.0987|INFO|FinalVersion.SurfaceWindow1|; 1336041575473 ; steven houben ; C ; 2 ; 0 ; 2 ; 0 ; 1336041605098
